model_name,model_family,covariance_method,alpha,term,coefficient,standard_error,p_value,conf_int_lower,conf_int_upper,incidence_rate_ratio,irr_conf_int_lower,irr_conf_int_upper,reference_level_notes,poisson_sign,poisson_ci_crosses_one,estimated_nb_sign,estimated_nb_irr,estimated_nb_irr_lower,estimated_nb_irr_upper,estimated_nb_ci_crosses_one,fixed_alpha_1_sign,fixed_alpha_1_irr,fixed_alpha_1_irr_lower,fixed_alpha_1_irr_upper,fixed_alpha_1_ci_crosses_one,coefficient_direction_agreement_estimated_nb,coefficient_direction_agreement_fixed_alpha_1
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]",-0.2800366012740884,0.06634312483158222,2.4318399474498853e-05,-0.4100667365658345,-0.15000646598234232,0.7557560793140908,0.6636059618755498,0.860702411120473,"reference analysis window is 0-1,000 ft",negative,False,negative,0.7557560793140918,,,,negative,0.8018258162296745,0.7209140283530664,0.8918187388323544,False,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(local_access_density_label, Treatment(reference='0'))[T.>0-1]",-0.09638096103694449,0.1098027211626444,0.38007138307587895,-0.31159033992022156,0.11882841784633255,0.9081179925900343,0.7322814532690266,1.1261766698914089,"reference access density is 0 per 1,000 ft",negative,True,negative,0.9081179925900346,,,,negative,0.860616483149164,0.6906570373536247,1.0724001798432525,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(local_access_density_label, Treatment(reference='0'))[T.1-3]",0.26754290877856035,0.0699319294780147,0.0001303682698460072,0.1304788456322566,0.4046069719248641,1.3067496996666323,1.1393738369054767,1.498713347865383,"reference access density is 0 per 1,000 ft",positive,False,positive,1.3067496996666317,,,,positive,1.1093261789697857,0.955139548512945,1.2884029074742336,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(local_access_density_label, Treatment(reference='0'))[T.3-6]",0.09186932466455587,0.09923449316567051,0.3545602413291684,-0.10262670796424446,0.2863653572933562,1.0962215636003012,0.9024637931580975,1.3315788684408418,"reference access density is 0 per 1,000 ft",positive,True,positive,1.0962215636002999,,,,positive,1.0378247138317398,0.8389299850966078,1.283873691218583,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(local_access_density_label, Treatment(reference='0'))[T.6+]",-0.2485931706237624,0.23122560263223094,0.28232507052893097,-0.701787024086505,0.20460068283898014,0.7798971939419452,0.4956986863318555,1.227034990993141,"reference access density is 0 per 1,000 ft",negative,True,negative,0.7798971939419425,,,,negative,0.5576484216167709,0.37262718274785517,0.8345385858285609,False,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(signal_relative_direction_model, Treatment(reference='downstream'))[T.upstream]",-0.0097606388791086,0.04726205327283644,0.8363834276375832,-0.10239256112928141,0.0828712833710642,0.9902868415512076,0.9026751269395368,1.086401961549954,reference direction is downstream,negative,True,negative,0.9902868415512001,,,,negative,0.9446420933822058,0.8666066910517783,1.029704355855475,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.<30 mph]",0.3375317943100327,0.09138273204444874,0.0002210964091298205,0.15842493069403887,0.5166386579260266,1.4014841669057243,1.171663964923053,1.6763832710485596,reference simplified speed band is 30-39 mph,positive,False,positive,1.4014841669057252,,,,positive,1.4053636402710326,1.2152094526490305,1.6252728754622923,False,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.40-49 mph]",0.05484096259136691,0.055199844682881916,0.32046708376254884,-0.053348744939286444,0.16303067012202027,1.0563725985547991,0.9480493274181474,1.1770727901009612,reference simplified speed band is 30-39 mph,positive,True,positive,1.0563725985547976,,,,positive,1.1684421880214915,1.0536092687343144,1.2957907520959018,False,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.50+ mph]",-0.20122673944144612,0.10256649700865174,0.04977239197822976,-0.4022533795988387,-0.00020009928405351207,0.8177269995691437,0.6688112610902497,0.999799920734473,reference simplified speed band is 30-39 mph,negative,False,negative,0.8177269995691412,,,,positive,1.0202212457848638,0.858573818985655,1.2123027366249215,True,True,False
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.missing/review speed]",0.16857760011114,0.11224826744530385,0.13314151410285932,-0.05142496140867536,0.3885801616309554,1.183620072330363,0.9498749245642671,1.4748852079298649,reference simplified speed band is 30-39 mph,positive,True,positive,1.1836200723303623,,,,positive,1.2917533863722177,1.070905773162365,1.5581453130807834,False,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.>0-1]",0.038426354903799115,0.20650482378427368,0.8523822638023788,-0.3663156623471676,0.4431683721547659,1.0391741954562883,0.6932839230353752,1.5576345745538405,"reference analysis window is 0-1,000 ft",positive,True,positive,1.0391741954562856,,,,negative,0.8255713584670565,0.5642878349584114,1.2078376064431258,True,True,False
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.1-3]",0.06673424366956224,0.1330842084323921,0.6160588606238508,-0.19410601176894807,0.32757449910807257,1.0690113438890816,0.8235705914653114,1.3875984222922246,"reference analysis window is 0-1,000 ft",positive,True,positive,1.0690113438890774,,,,positive,1.0318463682719432,0.7939323514752721,1.3410549724262748,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.3-6]",0.504517630575485,0.16736146858843795,0.0025737034050578953,0.17649517974241508,0.8325400814085551,1.6561864340518364,1.1930286760402131,2.2991513610900682,"reference analysis window is 0-1,000 ft",positive,False,positive,1.656186434051837,,,,positive,1.325920347079849,0.9175106316135385,1.916124681529419,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.6+]",0.8694375568836591,0.33323309882983,0.009078144270777331,0.2163126847205159,1.5225624290468023,2.3855687294150068,1.2414905134298715,4.583956221332976,"reference analysis window is 0-1,000 ft",positive,False,positive,2.3855687294150045,,,,positive,4.1247793478197,2.306070716004172,7.377833017055289,False,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_cluster_reference_signal,,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]",-0.28003660127407926,0.050646593738699855,3.2164174483166676e-08,-0.3793021009415628,-0.18077110160659574,0.7557560793140977,0.6843388420265241,0.8346263814703638,"reference analysis window is 0-1,000 ft",negative,False,negative,0.7557560793140918,,,,negative,0.8018258162296745,0.7209140283530664,0.8918187388323544,False,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_cluster_reference_signal,,"C(local_access_density_label, Treatment(reference='0'))[T.>0-1]",-0.09638096103694448,0.10865411904297918,0.37505532749892534,-0.3093391211331113,0.11657719905922236,0.9081179925900345,0.7339318360233998,1.1236442513981104,"reference access density is 0 per 1,000 ft",negative,True,negative,0.9081179925900346,,,,negative,0.860616483149164,0.6906570373536247,1.0724001798432525,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_cluster_reference_signal,,"C(local_access_density_label, Treatment(reference='0'))[T.1-3]",0.26754290877856396,0.11178403363753496,0.016693437082389948,0.048450228802381506,0.48663558875474644,1.306749699666637,1.0496431285246515,1.626833664865689,"reference access density is 0 per 1,000 ft",positive,False,positive,1.3067496996666317,,,,positive,1.1093261789697857,0.955139548512945,1.2884029074742336,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_cluster_reference_signal,,"C(local_access_density_label, Treatment(reference='0'))[T.3-6]",0.09186932466455407,0.09481281932630262,0.33256780339951164,-0.09396038648770226,0.2776990358168104,1.0962215636002992,0.9103188224523945,1.3200888379577898,"reference access density is 0 per 1,000 ft",positive,True,positive,1.0962215636002999,,,,positive,1.0378247138317398,0.8389299850966078,1.283873691218583,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_cluster_reference_signal,,"C(local_access_density_label, Treatment(reference='0'))[T.6+]",-0.24859317062376723,0.2941956355156432,0.39811490302518193,-0.8252060206433007,0.3280196793957662,0.7798971939419415,0.43814471630957985,1.3882162912784062,"reference access density is 0 per 1,000 ft",negative,True,negative,0.7798971939419425,,,,negative,0.5576484216167709,0.37262718274785517,0.8345385858285609,False,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_cluster_reference_signal,,"C(signal_relative_direction_model, Treatment(reference='downstream'))[T.upstream]",-0.009760638879106052,0.031003438221108192,0.7528949835031791,-0.07052626118939066,0.05100498343117856,0.9902868415512102,0.9319032663162834,1.0523281374749873,reference direction is downstream,negative,True,negative,0.9902868415512001,,,,negative,0.9446420933822058,0.8666066910517783,1.029704355855475,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_cluster_reference_signal,,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.<30 mph]",0.3375317943100324,0.11072337299505972,0.0023004504703615664,0.12051797099292053,0.5545456176271443,1.4014841669057239,1.1280810135195125,1.7411496572922835,reference simplified speed band is 30-39 mph,positive,False,positive,1.4014841669057252,,,,positive,1.4053636402710326,1.2152094526490305,1.6252728754622923,False,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_cluster_reference_signal,,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.40-49 mph]",0.0548409625913622,0.089972397337053,0.5421725514747948,-0.12150169579198916,0.23118362097471357,1.056372598554794,0.8855895515719268,1.2600905972712053,reference simplified speed band is 30-39 mph,positive,True,positive,1.0563725985547976,,,,positive,1.1684421880214915,1.0536092687343144,1.2957907520959018,False,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_cluster_reference_signal,,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.50+ mph]",-0.2012267394414478,0.13103461072756042,0.12461780312044209,-0.4580498571956921,0.05559637831279646,0.8177269995691424,0.6325159399502188,1.0571709005103958,reference simplified speed band is 30-39 mph,negative,True,negative,0.8177269995691412,,,,positive,1.0202212457848638,0.858573818985655,1.2123027366249215,True,True,False
S3_access_interaction_speed_simplified,poisson_glm,poisson_cluster_reference_signal,,"C(speed_band_simplified, Treatment(reference='30-39 mph'))[T.missing/review speed]",0.16857760011113548,0.14840276745233374,0.2559789673585362,-0.1222864793015116,0.45944167952378256,1.1836200723303576,0.884894828135052,1.5831898109020341,reference simplified speed band is 30-39 mph,positive,True,positive,1.1836200723303623,,,,positive,1.2917533863722177,1.070905773162365,1.5581453130807834,False,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_cluster_reference_signal,,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.>0-1]",0.03842635490379226,0.18822369944438894,0.8382342622192563,-0.33048531704410183,0.40733802685168635,1.0391741954562812,0.7185749121419875,1.5028120106269849,"reference analysis window is 0-1,000 ft",positive,True,positive,1.0391741954562856,,,,negative,0.8255713584670565,0.5642878349584114,1.2078376064431258,True,True,False
S3_access_interaction_speed_simplified,poisson_glm,poisson_cluster_reference_signal,,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.1-3]",0.06673424366956078,0.139052298948842,0.6312829274429015,-0.20580325423766638,0.3392717415767879,1.06901134388908,0.8139932102442489,1.4039247981204044,"reference analysis window is 0-1,000 ft",positive,True,positive,1.0690113438890774,,,,positive,1.0318463682719432,0.7939323514752721,1.3410549724262748,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_cluster_reference_signal,,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.3-6]",0.5045176305754843,0.19692906810394978,0.010409360020977197,0.11854374958270719,0.8904915115682613,1.656186434051835,1.1258561287603637,2.4363268398756177,"reference analysis window is 0-1,000 ft",positive,False,positive,1.656186434051837,,,,positive,1.325920347079849,0.9175106316135385,1.916124681529419,True,True,True
S3_access_interaction_speed_simplified,poisson_glm,poisson_cluster_reference_signal,,"C(analysis_window_readable, Treatment(reference='0-1,000 ft'))[T.1,000-2,500 ft]:C(local_access_density_label, Treatment(reference='0'))[T.6+]",0.8694375568836562,0.3566468849613192,0.014776513798567268,0.17042250716107077,1.5684526066062416,2.3855687294149996,1.18580575691875,4.799216169729418,"reference analysis window is 0-1,000 ft",positive,False,positive,2.3855687294150045,,,,positive,4.1247793478197,2.306070716004172,7.377833017055289,False,True,True
