model_name,model_family,covariance_method,alpha,n_rows,total_crashes,aic,bic,log_likelihood,converged,overdispersion_flag,pearson_overdispersion_ratio,deviance_overdispersion_ratio
S0_exposure_only,poisson_glm,poisson_conventional,,2967,12414,20079.46277418993,20085.458080810222,-10038.731387094966,True,True,6.761382227622658,4.483765349870332
S0_exposure_only,poisson_glm,poisson_scaled_pearson,,2967,12414,2971.4317076415673,2977.427014261858,-1484.7158538207837,True,True,6.761382227623655,4.483765349870332
S0_exposure_only,poisson_glm,poisson_robust_hc0,,2967,12414,20079.46277418993,20085.458080810222,-10038.731387094966,True,True,6.761382227622658,4.483765349870332
S0_exposure_only,poisson_glm,poisson_cluster_reference_signal,,2967,12414,20079.46277418993,20085.458080810222,-10038.731387094966,True,True,6.761382227622658,4.483765349870332
S0_exposure_only,negative_binomial_glm_fixed_alpha,default,0.25,2967,12414,14862.67703225899,14868.67233887928,-7430.338516129495,True,True,3.671634942269287,2.1767841092460483
S0_exposure_only,negative_binomial_glm_fixed_alpha,default,0.5,2967,12414,14016.646838820401,14022.642145440692,-7007.323419410201,True,True,2.7887517708934566,1.5981363322907225
S0_exposure_only,negative_binomial_glm_fixed_alpha,default,1.0,2967,12414,13706.289873079571,13712.285179699862,-6852.144936539786,True,True,2.014823884185174,1.1045052371657804
S0_exposure_only,negative_binomial_glm_fixed_alpha,default,2.0,2967,12414,14047.304393647371,14053.299700267662,-7022.652196823686,True,False,1.4134693555904936,0.7250339105448821
S1_window_direction,poisson_glm,poisson_conventional,,2967,12414,19935.217749894065,19953.203669754937,-9964.608874947033,True,True,6.894970554951027,4.436775642179332
S1_window_direction,poisson_glm,poisson_scaled_pearson,,2967,12414,2896.399254219228,2914.3851740801006,-1445.199627109614,True,True,6.894970554951112,4.436775642179332
S1_window_direction,poisson_glm,poisson_robust_hc0,,2967,12414,19935.217749894065,19953.203669754937,-9964.608874947033,True,True,6.894970554951027,4.436775642179332
S1_window_direction,poisson_glm,poisson_cluster_reference_signal,,2967,12414,19935.217749894065,19953.203669754937,-9964.608874947033,True,True,6.894970554951027,4.436775642179332
S1_window_direction,negative_binomial_glm_fixed_alpha,default,0.25,2967,12414,14809.791115655984,14827.777035516856,-7401.895557827992,True,True,3.803991470740189,2.1590606448788043
S1_window_direction,negative_binomial_glm_fixed_alpha,default,0.5,2967,12414,13986.800142847165,14004.786062708037,-6990.400071423583,True,True,2.90531805486146,1.5877954337385447
S1_window_direction,negative_binomial_glm_fixed_alpha,default,1.0,2967,12414,13692.890795277384,13710.876715138256,-6843.445397638692,True,True,2.10859558456314,1.099380383141537
S1_window_direction,negative_binomial_glm_fixed_alpha,default,2.0,2967,12414,14043.629867565653,14061.615787426525,-7018.814933782826,True,False,1.483309619563437,0.7229338908887992
S2_access_interaction,poisson_glm,poisson_conventional,,2967,12414,19636.57027737591,19702.518650199112,-9807.285138687956,True,True,6.886823326894385,4.342339489479495
S2_access_interaction,poisson_glm,poisson_scaled_pearson,,2967,12414,2870.1303129669186,2936.0786857901176,-1424.0651564834593,True,True,6.886823326894399,4.342339489479495
S2_access_interaction,poisson_glm,poisson_robust_hc0,,2967,12414,19636.57027737591,19702.518650199112,-9807.285138687956,True,True,6.886823326894385,4.342339489479495
S2_access_interaction,poisson_glm,poisson_cluster_reference_signal,,2967,12414,19636.57027737591,19702.518650199112,-9807.285138687956,True,True,6.886823326894385,4.342339489479495
S2_access_interaction,negative_binomial_glm_fixed_alpha,default,0.25,2967,12414,14736.089478312195,14802.037851135394,-7357.044739156097,True,True,3.8134577345862586,2.1345582253305087
S2_access_interaction,negative_binomial_glm_fixed_alpha,default,0.5,2967,12414,13942.07818589835,14008.026558721549,-6960.039092949175,True,True,2.9157618302794095,1.5715506456874937
S2_access_interaction,negative_binomial_glm_fixed_alpha,default,1.0,2967,12414,13669.59727794667,13735.54565076987,-6823.798638973335,True,True,2.1186910365423026,1.0890629019962117
S2_access_interaction,negative_binomial_glm_fixed_alpha,default,2.0,2967,12414,14035.433214546352,14101.381587369551,-7006.716607273176,True,False,1.4933415342842045,0.7167048036451628
S3_access_interaction_speed_simplified,poisson_glm,poisson_conventional,,2967,12414,19496.361894141424,19586.291493445788,-9733.180947070712,True,True,6.893940265871324,4.298017326445426
S3_access_interaction_speed_simplified,poisson_glm,poisson_scaled_pearson,,2967,12414,2853.691697839413,2943.6212971437753,-1411.8458489197064,True,True,6.893940265871291,4.298017326445426
S3_access_interaction_speed_simplified,poisson_glm,poisson_robust_hc0,,2967,12414,19496.361894141424,19586.291493445788,-9733.180947070712,True,True,6.893940265871324,4.298017326445426
S3_access_interaction_speed_simplified,poisson_glm,poisson_cluster_reference_signal,,2967,12414,19496.361894141424,19586.291493445788,-9733.180947070712,True,True,6.893940265871324,4.298017326445426
S3_access_interaction_speed_simplified,negative_binomial_glm_fixed_alpha,default,0.25,2967,12414,14678.229067512762,14768.158666817124,-7324.114533756381,True,True,3.849625730102683,2.1151401433867045
S3_access_interaction_speed_simplified,negative_binomial_glm_fixed_alpha,default,0.5,2967,12414,13905.497226807902,13995.426826112263,-6937.748613403951,True,True,2.9567005254197034,1.5585781671957257
S3_access_interaction_speed_simplified,negative_binomial_glm_fixed_alpha,default,1.0,2967,12414,13650.238323821297,13740.167923125658,-6810.1191619106485,True,True,2.161774013983741,1.0812706585960128
S3_access_interaction_speed_simplified,negative_binomial_glm_fixed_alpha,default,2.0,2967,12414,14028.147626545551,14118.077225849913,-6999.073813272776,True,True,1.5357254187059606,0.7124979036498305
S4_speed_sensitivity_no_missing,poisson_glm,poisson_conventional,,2786,11784,18100.786347533918,18183.839417694675,-9036.393173766959,True,True,6.778483970312831,4.199267181339615
S4_speed_sensitivity_no_missing,poisson_glm,poisson_scaled_pearson,,2786,11784,2694.1988767231496,2777.251946883906,-1333.0994383615748,True,True,6.778483970312859,4.199267181339616
S4_speed_sensitivity_no_missing,negative_binomial_glm_fixed_alpha,default,0.25,2786,11784,13691.400974441796,13774.454044602553,-6831.700487220898,True,True,3.8002206239876926,2.0522475731586605
S4_speed_sensitivity_no_missing,negative_binomial_glm_fixed_alpha,default,0.5,2786,11784,13016.479679920807,13099.532750081564,-6494.2398399604035,True,True,2.9356658490342014,1.5109429089727362
S4_speed_sensitivity_no_missing,negative_binomial_glm_fixed_alpha,default,1.0,2786,11784,12828.111522138093,12911.16459229885,-6400.055761069047,True,True,2.164996196394779,1.0480547447014412
S4_speed_sensitivity_no_missing,negative_binomial_glm_fixed_alpha,default,2.0,2786,11784,13230.31818375786,13313.371253918616,-6601.15909187893,True,True,1.5551374007472052,0.6910424679966434
